Count,Units,Recipe Title,Item Name
2, "stick", "Cinnamon Baked French Toast", "Butter"
1, 'loaf', 'Cinnamon Baked French Toast', 'Bread'
8, 'whole', 'Cinnamon Baked French Toast', 'Egg'
2, 'cup', 'Cinnamon Baked French Toast', 'Milk'
0.5, 'cup', 'Cinnamon Baked French Toast', 'Heavy Whipping Cream'
1, 'cup', 'Cinnamon Baked French Toast', 'Brown Sugar'
2, 'tbsp', 'Cinnamon Baked French Toast', 'Vanilla Extract'
0.5, 'cup', 'Cinnamon Baked French Toast', 'Flour'
1, 'tsp', 'Cinnamon Baked French Toast', 'Ground Cinnamon'
0.25, 'tsp', 'Cinnamon Baked French Toast', 'Salt'
1, 'cup', 'Cinnamon Baked French Toast', 'Blueberries'
1, 'as much as needed', 'Cinnamon Baked French Toast', 'Syrup'
1, 'whole', 'Buttermilk Pancakes', 'Egg'
1, 'cup', 'Buttermilk Pancakes', 'Buttermilk'
1, 'tbsp', 'Buttermilk Pancakes', 'Vegetable Oil'
1, 'cup', 'Buttermilk Pancakes', 'Flour'
1, 'tbsp', 'Buttermilk Pancakes', 'Sugar'
1, 'tsp', 'Buttermilk Pancakes', 'Baking Powder'
0.5, 'tsp', 'Buttermilk Pancakes', 'Baking Soda'
0.5, 'tsp', 'Buttermilk Pancakes', 'Salt'


